name,platform,global_sales,critic_score,critic_count,user_score,user_count
All-Pro Football 2K8,X360,0.25,75,22,6.9,48
All-Pro Football 2K8,PS3,0.15,73,23,7.3,21
Alone in the Dark,X360,0.47,58,53,5.7,142
Alone in the Dark,Wii,0.18,39,10,4.4,33
Alone in the Dark: Inferno,PS3,0.12,69,25,5.2,33
Alpha Protocol,PS3,0.39,64,49,6.6,96
Alpha Protocol,X360,0.36,63,68,7.3,175
Alvin and the Chipmunks,Wii,0.05,30,4,3.8,19
Alvin and the Chipmunks: Chipwrecked,X360,0.08,,,1.8,4
Alvin and the Chipmunks: Chipwrecked,Wii,0.08,,,,
Alvin and the Chipmunks: The Squeakquel,Wii,0.09,,,,
Amagami,PSP,0.15,,,,
Amagami,PSV,0.02,,,,
America's Army: True Soldiers,X360,0.08,43,11,6.6,54
America's Next Top Model,Wii,0.07,,,,
AMF Bowling Pinbusters!,Wii,0.9,,,,
AMF Bowling World Lanes,Wii,0.35,,,1.2,9
Amnesia,PSP,0.04,,,,
Amnesia Later,PSP,0.05,,,,
Amnesia: Crowd,PSP,0.05,,,,
Amped 3,X360,0.14,72,49,6.9,33
Anarchy Reigns,PS3,0.17,71,35,8.3,88
Anarchy Reigns,X360,0.13,73,38,7.8,97
Angelique: Maren no Rokukishi,PSP,0.03,,,,
Angler's Club: Ultimate Bass Fishing 3D,3DS,0.02,,,,
Angry Birds Trilogy,3DS,0.49,62,7,4.5,16
Angry Birds Trilogy,X360,0.14,63,13,2.5,21
Angry Birds Trilogy,PS3,0.08,66,8,2.8,16
Angry Birds: Star Wars,X360,0.13,59,3,5.4,23
Angry Birds: Star Wars,Wii,0.13,,,,
Angry Birds: Star Wars,3DS,0.11,,,2.8,4
Angry Birds: Star Wars,PS3,0.1,49,6,3,15
Angry Birds: Star Wars,PS4,0.05,47,5,1.6,54
Angry Birds: Star Wars,XOne,0.05,53,4,7.2,35
Angry Birds: Star Wars,PSV,0.03,,,2.4,11
Angry Birds: Star Wars,WiiU,0.02,,,6.8,17
Animal Crossing: City Folk,Wii,4.52,73,50,7.8,93
Animal Crossing: New Leaf,3DS,6.37,88,70,8.6,367
Animal Kingdom: Wildlife Expedition,Wii,0.06,,,,
Animal Planet: Vet Life,Wii,0.09,,,,
Anime Slot Revolution: Pachi-Slot Mobile Suit Gundam II - Ai Senshi Hen,Wii,0.01,,,,
Ano Hi Mita Hana no Namae o Bokutachi wa Mada Shiranai,PSP,0.02,,,,
Another Code R: A Journey into Lost Memories,Wii,0.05,66,27,,
Anpanman Niko Niko Party,Wii,0.01,,,,
Antiphona no Seikahime: Tenshi no Gakufu Op.A,PSP,0.02,,,,
Anubis II,Wii,0.06,19,5,2.2,21
Ao no Exorcist: Genkoku no Labyrinth,PSP,0.04,,,,
Apache: Air Assault,PS3,0.15,66,17,4.7,7
Apache: Air Assault,X360,0.14,70,26,6.3,27
Ape Escape,PS3,0.03,43,23,4.9,14
Ape Escape Academy,PSP,0.33,51,48,5.8,4
Ape Escape Academy (jp sales),PSP,0.14,,,,
Ape Escape: On the Loose,PSP,0.68,66,35,6.6,14
Aquanaut's Holiday: Kakusareta Kiroku,PS3,0.04,,,,
AquaPazza: AquaPlus Dream Match,PS3,0.07,75,12,7.8,14
Ar tonelico Qoga: Knell of Ar Ciel,PS3,0.21,61,27,5.2,90
Arabians Lost: The Engagement on Desert,PSP,0.01,,,,
Arc Rise Fantasia,Wii,0.18,64,26,7.2,31
Arcade Shooting Gallery,Wii,0.18,,,,
Arcade Zone,Wii,0.12,,,,
Arcana Famiglia 2,PSP,0.01,,,,
Arcana Famiglia: La storia della Aracana Famiglia,PSP,0.05,,,,
Arcana Famiglia: Vascello Phantasma no Majutsushi,PSP,0.02,,,,
Arcana Heart 3,PS3,0.11,73,10,7.7,24
Arcana Heart 3,X360,0.04,68,13,,
Arcania: Gothic 4,X360,0.07,64,21,5.6,41
Archer Maclean's Mercury,PSP,0.55,75,39,6.5,20
Arctic Tale,Wii,0.04,,,,
Are You Alice?,PSP,0.02,,,,
Are You Smarter Than a 5th Grader? Back to School,Wii,0.14,,,,
Are You Smarter than a 5th Grader? Game Time,Wii,0.26,,,,
Are You Smarter than a 5th Grader? Game Time,X360,0.11,,,1.3,9
Are You Smarter than a 5th Grader? Make the Grade,Wii,0.54,,,,
Armen Noir Portable,PSP,0.01,,,,
Armored Core 3 Portable,PSP,0.08,43,6,6.7,6
Armored Core 4,X360,0.24,65,31,7.1,27
Armored Core 4,PS3,0.18,65,36,6.8,21
Armored Core SL: Silent Line Portable,PSP,0.03,,,,
Armored Core V,PS3,0.36,65,26,7.1,43
Armored Core V,X360,0.17,68,37,6.9,33
