name,platform,global_sales,critic_score,critic_count,user_score,user_count
Fantastic Four: Rise of the Silver Surfer,PS3,0.14,47,26,5.3,6
Fantastic Four: Rise of the Silver Surfer,X360,0.09,45,30,3.9,12
Fantastic Four: Rise of the Silver Surfer,Wii,0.04,39,16,4.9,12
Fantastic Pets,X360,0.34,66,11,7.5,4
Fantasy Aquarium World,Wii,0.06,,,,
Fantasy Life,3DS,0.36,,,,
Far Cry 2,X360,1.56,85,75,6.7,239
Far Cry 2,PS3,1.32,85,49,6.6,179
Far Cry 3,X360,2.72,91,39,8.5,982
Far Cry 3,PS3,2.67,90,32,8.5,717
Far Cry Instincts Predator,X360,0.22,78,46,6.2,69
Far Cry Vengeance,Wii,0.08,38,23,5.4,48
Farming Simulator 2012,3DS,0.12,,,,
Farming Simulator 2013,X360,0.18,33,12,5.7,23
Farming Simulator 2013,PS3,0.11,40,17,3.7,7
Fast Food Panic,Wii,0.06,57,6,,
Fat Princess: Fistful of Cake,PSP,0.09,74,33,9.2,18
Fatal Frame 2: Wii Edition,Wii,0.1,,,,
Fatal Inertia,X360,0.12,61,30,4.4,17
Fate/Extra,PSP,0.27,58,10,7.8,29
Fate/Extra CCC,PSP,0.12,,,,
Fate/stay night [R̩alta Nua],PSV,0.05,,,,
Fate/Tiger Colosseum,PSP,0.08,,,,
Fate/Tiger Colosseum Upper,PSP,0.06,,,,
Fate/Unlimited Codes Portable,PSP,0.05,,,,
Ferrari Challenge Trofeo Pirelli,PS3,0.02,71,37,6.4,23
Ferrari Challenge Trofeo Pirelli Deluxe,Wii,0.01,,,,
Ferrari: The Race Experience,Wii,0.01,54,4,,
Field & Stream: Total Outdoorsman Challenge,X360,0.08,,,,
Field Commander,PSP,0.16,77,53,8.1,28
FIFA 06: Road to FIFA World Cup,X360,0.14,62,39,5.9,31
FIFA 07 Soccer,PSP,1.2,80,15,9.1,22
FIFA 07 Soccer,X360,0.27,73,39,7.7,44
FIFA Soccer,PSV,0.48,79,45,7.2,69
FIFA Soccer,PSP,0.12,73,23,7.7,22
FIFA Soccer 06,PSP,0.11,77,17,8.1,19
FIFA Soccer 08,PS3,1.73,81,28,7.1,40
FIFA Soccer 08,X360,1.34,82,43,7.9,46
FIFA Soccer 08,PSP,1.34,79,7,8,13
FIFA Soccer 08,Wii,1.02,65,13,6.2,25
FIFA Soccer 09,PS3,2.53,87,42,7.5,93
FIFA Soccer 09,X360,1.93,87,51,8,87
FIFA Soccer 09,PSP,1.32,84,8,8.9,21
FIFA Soccer 09 All-Play,Wii,0.87,80,18,8.3,21
FIFA Soccer 10,PS3,3.55,91,56,7.6,167
FIFA Soccer 10,X360,2.58,90,63,7.6,112
FIFA Soccer 10,PSP,1.13,83,9,7.8,13
FIFA Soccer 10,Wii,0.97,75,21,6.5,16
FIFA Soccer 11,PS3,5,89,51,8.1,197
FIFA Soccer 11,X360,3.48,88,66,7.4,130
FIFA Soccer 11,PSP,1.16,68,6,5.7,7
FIFA Soccer 11,Wii,1.06,73,17,7.3,7
FIFA Soccer 12,PS3,6.48,90,44,7.2,284
FIFA Soccer 12,X360,4.1,90,69,6.7,290
FIFA Soccer 12,Wii,0.73,70,9,5.9,13
FIFA Soccer 12,PSP,0.47,,,4.5,8
FIFA Soccer 12,3DS,0.33,67,13,4.4,14
FIFA Soccer 13,PS3,7.13,88,37,6.4,278
FIFA Soccer 13,X360,5.03,90,48,6,355
FIFA Soccer 13,Wii,0.62,,,1.5,19
FIFA Soccer 13,PSV,0.32,57,9,4,83
FIFA Soccer 13,PSP,0.26,,,2.8,18
FIFA Soccer 13,3DS,0.22,68,4,3.9,12
FIFA Soccer 13,WiiU,0.14,69,28,5.7,34
FIFA Soccer 14,PS3,5.35,,,,
FIFA Soccer 14,X360,3.67,,,,
FIFA Soccer 14,PS4,1.45,,,,
FIFA Soccer 14,XOne,0.73,,,,
FIFA Soccer 14,Wii,0.26,,,,
FIFA Soccer 14,PSV,0.24,,,,
FIFA Soccer 14,PSP,0.14,,,,
FIFA Soccer 14,3DS,0.14,,,,
FIFA Street,PS3,1.05,76,36,6.2,47
FIFA Street,X360,0.72,77,47,6.5,50
FIFA Street 2,PSP,0.11,58,6,7,15
FIFA Street 3,PS3,0.29,63,37,7.1,16
FIFA Street 3,X360,0.25,63,48,7.1,16
FIFA World Cup Germany 2006,X360,0.48,72,49,6.6,33
FIFA World Cup Germany 2006,PSP,0.11,72,15,7.3,8
Fight Night Champion,PS3,0.96,84,52,7.2,63
Fight Night Champion,X360,0.7,86,59,7.3,88
Fight Night Round 3,PS3,1.64,83,37,7.9,20
Fight Night Round 3,X360,1.43,86,67,8.9,252
Fight Night Round 3,PSP,0.5,74,22,9,18
Fight Night Round 4,PS3,1.46,88,47,7.6,85
Fight Night Round 4,X360,1.36,87,77,8,79
Fighter Within,XOne,0.03,23,39,3.2,146
Fighters Uncaged,X360,0.56,32,39,4.2,20
Final Approach 2: 1st Priority Portable,PSP,0.01,,,,
Final Fantasy Anniversary Edition,PSP,0.57,67,34,7.6,30
Final Fantasy Crystal Chronicles: Echoes of Time,Wii,0.24,64,29,6.3,7
Final Fantasy Crystal Chronicles: The Crystal Bearers,Wii,0.38,66,53,7.8,51
Final Fantasy Fables: Chocobo's Dungeon,Wii,0.2,76,34,7.9,19
Final Fantasy II Anniversary Edition,PSP,0.47,63,31,7.2,15
Final Fantasy III,PSP,0.11,,,8.9,8
Final Fantasy IV: The Complete Collection,PSP,0.5,77,41,8,49
Final Fantasy Tactics: The War of the Lions,PSP,1.12,88,41,8.4,157
Final Fantasy Type-0,PSP,0.81,,,,
Final Fantasy X / X-2 HD Remaster,PS3,0.27,,,,
Final Fantasy X / X-2 HD Remaster,PSV,0.24,,,,
Final Fantasy XI: All-In-One Pack 2006,X360,0.02,,,,
Final Fantasy XI: Online,X360,0.19,,,,
Final Fantasy XI: Ultimate Collection,X360,0.27,,,,
Final Fantasy XI: Vana'diel Collection 2008,X360,0.15,,,,
Final Fantasy XI: Wings of the Goddess,X360,0.26,63,4,4.8,4
Final Fantasy XIII,PS3,5.1,83,83,7.6,1961
Final Fantasy XIII,X360,2.04,82,54,6.2,439
Final Fantasy XIII-2,PS3,2.52,79,53,6.8,499
Final Fantasy XIII-2,X360,0.69,79,50,6.1,222
Final Fantasy XIV: A Realm Reborn,PS3,0.7,,,,
Fire Emblem: Awakening,3DS,1.23,92,72,9.3,574
Fire Emblem: Radiant Dawn,Wii,0.47,78,36,8.9,120
Fishing Master,Wii,0.31,58,9,8.1,9
Fishing Master (jp sales),Wii,0.06,,,,
Fishing Master World Tour,Wii,0.08,,,,
Fishing Resort,Wii,0.36,69,9,8.3,7
Fist of the North Star: Ken's Rage,PS3,0.63,60,30,7,23
Fist of the North Star: Ken's Rage,X360,0.14,59,38,7.5,21
Fist of the North Star: Ken's Rage 2,PS3,0.27,49,19,7.3,14
Fist of the North Star: Ken's Rage 2,X360,0.05,55,18,7,14
Fist of the North Star: Ken's Rage 2,WiiU,0.02,40,4,4.9,14
Fit & Fun,Wii,0.01,,,,
Fit in Six,PS3,0.11,,,7.3,9
Fit in Six,Wii,0.1,,,,
FlatOut,Wii,0.01,,,8.2,13
FlatOut: Head On,PSP,0.29,74,28,8.7,15
FlatOut: Ultimate Carnage,X360,0.09,80,44,8.8,64
FlingSmash,Wii,0.46,48,26,7.1,8
Flip's Twisted World,Wii,0.05,47,7,,
Folklore,PS3,0.27,75,55,8.3,106
Food Network: Cook or Be Cooked,Wii,0.43,53,8,6.8,5
Football Manager 2007,X360,0.01,,,,
Football Manager 2012,PSP,0.11,,,,
Football Manager Handheld 2008,PSP,0.34,,,,
Football Manager Handheld 2009,PSP,0.48,,,,
Football Manager Handheld 2010,PSP,0.35,69,10,9,4
Football Manager Handheld 2011,PSP,0.41,77,5,,
Ford Bold Moves Street Racing,PSP,0.04,52,19,,
Ford Racing Off Road,Wii,0.47,37,5,,
Ford Racing Off Road,PSP,0.14,47,6,,
Formula 1: Championship Edition,PS3,0.61,,,,
Fortune Street,Wii,0.44,68,42,7.5,19
Forza Motorsport 2,X360,4.01,90,66,8.4,334
Forza Motorsport 3,X360,5.39,92,90,7.9,436
Forza Motorsport 3: Ultimate Edition,X360,0.04,,,,
Forza Motorsport 4,X360,4.16,91,83,8.1,491
Forza Motorsport 5,XOne,1.01,80,73,5.4,662
Forza: Horizon,X360,1.66,85,83,8.3,280
Fracture,X360,0.32,63,60,6.2,37
Fracture,PS3,0.14,62,40,6.3,15
Fragile Dreams: Farewell Ruins of the Moon,Wii,0.33,67,41,8.3,52
Frantix,PSP,0.08,59,29,7,4
Freddi Fish: Kelp Seed Mystery,Wii,0.07,,,,
Free Running,Wii,0.03,,,,
Friend Collection: New Life,3DS,1.65,,,,
Fritz Chess,Wii,0.02,,,,
Fritz Chess,PS3,0.02,,,,
Frogger 3D,3DS,0.15,54,11,4.8,6
Frogger: Helmet Chaos,PSP,0.11,66,18,6.3,4
From Russia With Love,PSP,0.08,61,33,6.9,11
Front Mission Evolved,PS3,0.27,58,42,6.1,27
Front Mission Evolved,X360,0.18,58,52,6.1,19
Frontier Gate,PSP,0.11,,,,
Frontlines: Fuel of War,X360,0.53,75,55,7.8,71
Fuel,X360,0.29,66,45,7.2,40
Fuel,PS3,0.22,67,44,7.3,27
Full Auto,X360,0.2,70,63,7.7,34
Full Auto 2: Battlelines,PS3,0.17,67,43,7.6,22
Full Auto 2: Battlelines,PSP,0.01,53,19,7.4,5
Fullmetal Alchemist: Brotherhood,PSP,0.03,,,,
Fullmetal Alchemist: Prince of the Dawn,Wii,0.01,,,,
Funky Barn 3D,3DS,0.08,,,,
Furu Furu Park,Wii,0.05,43,16,4.8,5
Fuse,X360,0.08,62,46,5.5,119
Fuse,PS3,0.07,63,35,5,97
Fushigi no Dungeon: Fuurai no Shiren 3 Portable,PSP,0.05,,,,
Fushigi no Dungeon: Fuurai no Shiren 4 - Kami no Hitomi to Akuma no Heso,PSP,0.04,,,,
Fuzion Frenzy 2,X360,0.15,49,47,4.7,26
G-Force,Wii,0.43,69,6,8,6
G-Force,PSP,0.34,,,,
G-Force,PS3,0.21,68,22,6.6,5
G-Force,X360,0.16,68,33,7,9
G.I. Joe: The Rise of Cobra,X360,0.22,42,59,4.7,20
G.I. Joe: The Rise of Cobra,Wii,0.21,51,11,,
G.I. Joe: The Rise of Cobra,PS3,0.2,43,32,4.8,13
G.I. Joe: The Rise of Cobra,PSP,0.13,,,,
G1 Grand Prix,3DS,0.05,,,,
G1 Jockey 4 2008,PS3,0.01,,,,
G1 Jockey Wii,Wii,0.02,,,,
GA - Geijutsuka Art Design Class: Slapstick Wonder Land,PSP,0.02,,,,
Gabrielle's Ghostly Groove 3D,3DS,0.08,62,9,8.4,8
GachiTora! Abarenbou Kyoushi in High School,PSP,0.05,,,,
Gaist Crusher,3DS,0.03,,,,
Gaku ? Ou: The Royal Seven Stars,PSP,0.01,,,,
Gakuen Hetalia Portable,PSP,0.04,,,,
Gal Gun,PS3,0.02,,,,
Gal*Gun,X360,0.04,,,,
Gallop & Ride!,Wii,0.14,,,,
Game & Wario,WiiU,0.14,,,,
Game of Thrones,X360,0.19,52,35,4.9,107
Game of Thrones,PS3,0.17,53,14,5.5,71
Game Party,Wii,2.44,25,8,4.3,20
Game Party 2,Wii,1.84,29,7,3.7,6
Game Party 3,Wii,1.58,37,4,,
Game Party in Motion,X360,0.5,33,6,2.9,8
Game Party: Champions,WiiU,0.06,24,8,2.5,15
Gangs of London,PSP,0.95,52,47,7,16
Garnet Cradle Portable: Kagi no Himiko,PSP,0.01,,,,
Gears of War,X360,6.03,94,88,8.3,1953
Gears of War 2,X360,6.66,93,90,7.6,2442
Gears of War 3,X360,5.98,91,96,7.6,1200
Gears of War: Judgment,X360,1.4,79,81,5.3,627
Gegege no Kitarou: Youkai Daiundoukai,Wii,0.01,,,,
Gekiatsu!! Pachi Game Tamashi Max: Evangelion 7 x Seimei no Kodou,PS3,0.03,,,,
Gekiatsu!! Pachi Game Tamashi Vol. 1: CR Evangelion - Shinjitsu no Tsubasa,PSP,0.03,,,,
Gekiatsu!! Pachi Game Tamashi Vol. 2: CR Evangelion - Shinjitsu no Tsubasa,PS3,0.03,,,,
Gekiatsu!! Pachi Game Tamashi: CR Evangelion - Hajimari no Fukuin,PS3,0.03,,,,
Gekijouban Macross F: Itsuwarino Utahime - Hybrid Pack,PS3,0.21,,,,
Gekijouban Macross F: Sayonara no Tsubasa - Hybrid Pack,PS3,0.22,,,,
Gekijouban Madoka Magicka: The Battle Pentagram,PSV,0.05,,,,
Gekka Ryouran Romance,PSP,0.02,,,,
Gem Smashers,Wii,0.04,,,,
Gem Smashers,3DS,0.04,,,,
Generation of Chaos,PSP,0.06,60,29,7.8,16
Generation of Chaos 6,PSP,0.01,,,,
Generator Rex: Agent of Providence,3DS,0.07,,,,
Generator Rex: Agent of Providence,Wii,0.06,,,,
Generator Rex: Agent of Providence,X360,0.05,,,4.5,4
Generator Rex: Agent of Providence,PS3,0.05,,,,
Genji: Days of the Blade,PS3,0.73,55,46,5.4,24
Genkai Tokki Monster Monpiece,PSV,0.06,,,,
Genroh,PSP,0.02,,,,
Gensou Suikoden I & II,PSP,0.03,,,,
Geometry Wars: Galaxies,Wii,0.12,80,55,8.2,25
Geon Cube,Wii,0.02,,,,
George of the Jungle and the Search for the Secret,Wii,0.02,35,10,4,6
Germany's Next Topmodel 2011,Wii,0.01,,,,
Get Fit with Mel B,PS3,0.33,73,4,,
Get Fit with Mel B,Wii,0.07,,,,
Get Fit with Mel B,X360,0.07,57,7,,
Get Up and Dance,Wii,0.09,,,,
Get Up and Dance,PS3,0.03,,,,
Getsuei Gakuen: kou,PSV,0.01,,,,
Ghost in the Shell: Stand Alone Complex,PSP,0.07,61,23,8,11
Ghost Rider,PSP,0.23,49,17,5.1,11
Ghost Squad,Wii,0.75,69,42,7.5,28
Ghostbusters: The Video Game,Wii,0.84,76,29,8.3,23
Ghostbusters: The Video Game,PS3,0.78,78,74,7.9,70
Ghostbusters: The Video Game,X360,0.6,79,53,8.4,104
Ghostbusters: The Video Game,PSP,0.17,54,13,4.3,12
Gintama no Sugoroku,PSP,0.06,,,,
Gintama: Banji Oku Chuubu!,Wii,0.03,,,,
Girls RPG: Cinderellife,3DS,0.06,,,,
Gitaroo Man Lives!,PSP,0.04,,,,
Glacier2,Wii,0.04,,,,
Gladiator Begins,PSP,0.1,59,9,8.6,9
Gloria Union,PSP,0.03,,,,
Go Diego Go! Great Dinosaur Rescue,Wii,0.56,,,,
Go Diego Go! Safari Rescue,Wii,0.51,,,,
Go Play: Circus Star,Wii,0.11,,,,
Go Play: City Sports,Wii,0.09,,,,
Go Play: Lumberjacks,Wii,0.17,,,,
Go Vacation,Wii,1.35,64,28,6.7,7
Go! Sudoku,PSP,0.12,,,,
Go! Sudoku (JP sales),PSP,0.11,,,,
God Eater,PSP,0.7,,,,
God Eater 2,PSV,0.39,,,,
God Eater 2,PSP,0.21,,,,
God of War Collection,PS3,2.49,91,50,8.8,376
God of War III,PS3,4.64,92,101,8.7,2085
God of War Saga,PS3,0.58,,,8.3,37
God of War: Ascension,PS3,1.72,80,89,7.5,698
God of War: Chains of Olympus,PSP,3.13,91,79,8.8,439
God of War: Ghost of Sparta,PSP,0.91,86,73,8.3,163
God of War: Origins Collection,PS3,0.48,84,58,8.4,146
Gods Eater Burst,PSP,0.66,71,30,8.3,23
Godzilla Unleashed,Wii,0.15,44,31,6.9,28
Goku Makaimura Kai,PSP,0.01,,,,
Gold's Gym: Cardio Workout,Wii,1.26,,,8.4,13
Gold's Gym: Cardio Workout (Others sales),Wii,0.3,,,,
Gold's Gym: Dance Workout,Wii,0.79,,,,
Golden Axe: Beast Rider,PS3,0.31,44,30,5.1,18
Golden Axe: Beast Rider,X360,0.31,45,33,5.9,29
GoldenEye 007 (2010),Wii,1.77,,,,
Goldeneye 007: Reloaded,PS3,0.67,72,38,6.3,41
Goldeneye 007: Reloaded,X360,0.44,72,56,6,82
Gon: BakuBakuBakuBaku Adventure,3DS,0.02,,,,
Goosebumps HorrorLand,Wii,0.15,37,4,3.3,6
Gormiti: The Lords of Nature!,Wii,0.03,,,,
Gradius Collection,PSP,0.06,76,44,,
Gran Turismo (PSP),PSP,3.12,,,,
Gran Turismo 5,PS3,10.86,84,82,7.5,962
Gran Turismo 5 Prologue,PS3,4.15,80,67,7.2,104
Gran Turismo 6,PS3,1.94,81,79,7.6,520
Grand Knights History,PSP,0.13,,,,
Grand Slam Tennis 2,PS3,0.18,73,36,5.4,14
Grand Slam Tennis 2,X360,0.14,71,46,5.1,13
Grand Theft Auto IV,X360,10.63,98,86,7.9,2565
Grand Theft Auto IV,PS3,10.05,98,64,7.4,2120
Grand Theft Auto V,PS3,16.71,97,50,8.2,2586
Grand Theft Auto V,X360,13.33,97,58,8.1,2714
Grand Theft Auto: Chinatown Wars,PSP,1.01,90,77,7.2,101
Grand Theft Auto: Episodes from Liberty City,X360,2.39,,,8.2,33
Grand Theft Auto: Episodes from Liberty City,PS3,1.84,,,8.5,49
Grand Theft Auto: Liberty City Stories,PSP,7.57,88,65,7.5,390
Grand Theft Auto: Vice City Stories,PSP,4.92,86,50,8,93
Gravity Rush,PSV,0.4,83,73,8.5,429
Gray Matter,X360,0.03,,,,
Grease,Wii,0.52,55,6,,
Grease Dance,X360,0.13,,,,
Grease Dance,PS3,0.06,,,,
Great Battle Full Blast,PSP,0.04,,,,
Great Party Games,Wii,0.07,,,,
Green Day: Rock Band,X360,0.37,75,54,6.5,31
Green Day: Rock Band,PS3,0.36,76,41,6.1,18
Green Day: Rock Band,Wii,0.34,76,12,8.7,9
Green Lantern: Rise of the Manhunters,PS3,0.11,61,12,6.7,16
Green Lantern: Rise of the Manhunters,X360,0.1,59,17,7,22
Green Lantern: Rise of the Manhunters,3DS,0.09,42,6,3.9,7
Green Lantern: Rise of the Manhunters,Wii,0.07,46,4,,
Greg Hastings Paintball 2,X360,0.18,,,8.3,7
Greg Hastings Paintball 2,Wii,0.1,,,,
Greg Hastings Paintball 2,PS3,0.04,46,5,,
Gretzky NHL,PSP,0.1,61,23,7.4,8
Gretzky NHL 06,PSP,0.14,65,22,,
Grey's Anatomy: The Video Game,Wii,0.06,65,4,,
GRID,PS3,1.05,87,39,8.1,81
GRID,X360,0.85,87,62,7.9,114
GRID 2,PS3,0.29,82,20,6.6,136
GRID 2,X360,0.2,78,50,5.7,143
GripShift,PSP,0.09,70,37,9.2,19
Grisaia no Kajitsu: La Fruit de la Grisaia,PSP,0.01,,,,
Groovin' Blocks,Wii,0.01,75,13,10,4
Growlanser,PSP,0.04,,,,
Growlanser IV: Over Reloaded,PSP,0.06,,,,
GT Pro Series,Wii,0.52,41,15,4,21
GTI Club: Supermini Festa!,Wii,0.02,,,,
Guild 01,3DS,0.05,,,,
Guilty Gear 2: Overture,X360,0.01,56,12,6.5,4
Guilty Gear Judgment,PSP,0.16,77,17,9,5
Guilty Gear XX Accent Core,Wii,0.04,75,15,8.6,15
Guilty Gear XX Accent Core Plus,PSP,0.08,,,8.3,4
Guilty Gear XX Accent Core Plus,Wii,0.03,76,10,7.4,5
Guinness World Records: The Videogame,Wii,1.02,67,12,7,8
Guitar Hero 5,Wii,1.5,89,25,6.8,41
Guitar Hero 5,X360,1.08,85,69,6.7,100
Guitar Hero 5,PS3,1.03,86,54,5.7,73
Guitar Hero II,X360,2.11,92,55,8.1,193
Guitar Hero III: Legends of Rock,Wii,4.56,86,36,8.3,78
Guitar Hero III: Legends of Rock,X360,4.43,85,69,7.7,131
Guitar Hero III: Legends of Rock,PS3,2.18,83,45,7.7,44
Guitar Hero: Aerosmith,Wii,1.25,73,16,6.8,17
Guitar Hero: Aerosmith,X360,1.17,70,59,6.7,42
Guitar Hero: Aerosmith,PS3,0.92,70,39,4.9,23
Guitar Hero: Metallica,Wii,0.91,85,20,8.3,12
Guitar Hero: Metallica,X360,0.76,84,62,8.1,66
Guitar Hero: Metallica,PS3,0.58,86,44,7.9,37
Guitar Hero: Smash Hits,Wii,0.56,74,17,7.7,6
Guitar Hero: Smash Hits,X360,0.38,71,56,5.9,16
Guitar Hero: Smash Hits,PS3,0.31,73,34,7,7
Guitar Hero: Van Halen,Wii,0.26,50,12,4.5,4
Guitar Hero: Van Halen,PS3,0.23,59,33,4.7,9
Guitar Hero: Van Halen,X360,0.23,57,34,5.6,14
Guitar Hero: Warriors of Rock,Wii,0.88,77,26,7.3,13
Guitar Hero: Warriors of Rock,X360,0.81,72,65,5.9,41
Guitar Hero: Warriors of Rock,PS3,0.74,74,46,6.8,25
Guitar Hero: World Tour,Wii,3.59,86,18,7.6,67
Guitar Hero: World Tour,X360,2.58,85,67,6.3,154
Guitar Hero: World Tour,PS3,1.84,84,43,7.5,74
Gummy Bears Magical Medallion,Wii,0.01,,,,
Gummy Bears Mini Golf,Wii,0.04,,,,
Gun,X360,0.25,75,53,7.2,44
Gun Showdown,PSP,0.06,73,41,7.3,7
Gunblade NY & L.A. Machineguns Arcade Hits Pack,Wii,0.06,,,,
Gundam Assault Survive,PSP,0.17,,,,
Gundam Battle Chronicle,PSP,0.22,,,,
Gundam Battle Royale,PSP,0.12,,,,
Gundam Battle Tactics,PSP,0.07,,,,
Gundam Battle Universe,PSP,0.26,,,,
Gundam Breaker,PS3,0.26,,,,
Gundam Breaker,PSV,0.07,,,,
Gundam Memories: Tatakai no Kioku,PSP,0.12,,,,
Gundam the 3D Battle,3DS,0.08,,,,
Gungnir: Mayari no Gunshin to Eiyuu Sensou,PSP,0.09,,,,
GunPey,PSP,0.05,62,24,,
Gunslingers,Wii,0.14,,,,
Gurumin: A Monstrous Adventure,PSP,0.01,78,41,7.6,16
Hagane no Renkinjutsushi - Fullmetal Alchemist: Yakusoku no Hi e,PSP,0.06,,,,
Hail to the Chimp,X360,0.04,52,23,6.1,7
Hail to the Chimp,PS3,0.04,51,19,,
Hajime no Ippo Portable: Victorious Spirits,PSP,0.06,,,,
Hakuoki: Demon of the Fleeting Blossom,PSP,0.08,79,4,8.5,26
Hakuoki: Reimeiroku Nagorigusa,PS3,0.01,,,,
Hakuouki Portable,PSP,0.1,,,,
Hakuouki: Bakumatsu Musou Roku,PSP,0.05,,,,
Hakuouki: Junsouroku,PS3,0.03,,,,
Hakuouki: Reimeiroku Portable,PSP,0.04,,,,
Hakuouki: Yuugi Roku,PSP,0.07,,,,
Hakuouki: Yuugi Roku Ni - Matsuri Hayashi to Taishitachi,PSP,0.06,,,,
Hakuouki: Zuisouroku Portable,PSP,0.09,,,,
Half-Minute Hero,PSP,0.17,84,41,8.5,24
Half-Minute Hero 2,PSP,0.04,,,,
Halo 3,X360,11.87,94,86,7.7,3523
Halo 3: ODST,X360,6.22,83,94,7.1,944
Halo 4,X360,8.94,87,87,6.9,2605
Halo Wars,X360,2.41,82,92,7.1,348
Halo: Combat Evolved Anniversary,X360,2.21,82,73,8.1,382
Halo: Reach,X360,9.52,91,99,7.7,1606
Hammerin' Hero,PSP,0.04,73,19,7.6,5
Hamster Heroes,Wii,0.16,,,,
Hana to Ikimo no Rittai Zukan,3DS,0.04,,,,
Hanaoni: Koisomeru Koku - Eikyuu no Shirushi,PSP,0.04,,,,
Hanaoni: Yume no Tsudzuki,PSP,0.04,,,,
Hanasaku Manimani,PSP,0.01,,,,
"Hanayaka Kana, Ware ga Ichizoku",PSP,0.01,,,,
"Hanayaka Kana, Ware ga Ichizoku Twin Pack",PSP,0.03,,,,
"Hanayaka Kana, Ware ga Ichizoku: Tasogare Polarstar",PSP,0.02,,,,
Haneru no Tobira Wii: Girigirissu,Wii,0.02,,,,
Hannah Montana: Rock Out the Show,PSP,0.15,,,,
Hannah Montana: Spotlight World Tour,Wii,1.38,,,6.8,19
Hannah Montana: The Movie,Wii,0.34,,,,
Hannah Montana: The Movie,PS3,0.2,,,2.5,13
Hannah Montana: The Movie,X360,0.2,25,4,3.2,37
Hannspree Ten Kate Honda: SBK Superbike World Championship,PSP,0.04,,,,
Happy Dance Collection,Wii,0.01,,,,
Happy Feet,Wii,0.14,46,11,7.3,12
Happy Feet Two,3DS,0.09,,,,
Happy Feet Two,Wii,0.06,,,,
Happy Feet Two,X360,0.05,,,,
Happy Feet Two,PS3,0.05,,,,
Harakuju Tantei Gakuen: Steel Wood,PSP,0.01,,,,
Hard Rock Casino,PSP,0.14,44,8,,
Harley-Davidson: Road Trip,Wii,0.02,,,,
Harry Potter and the Deathly Hallows - Part 1,Wii,0.51,41,8,5,11
Harry Potter and the Deathly Hallows - Part 1,X360,0.41,38,42,5.5,34
Harry Potter and the Deathly Hallows - Part 1,PS3,0.32,38,27,2.6,16
Harry Potter and the Deathly Hallows - Part 2,Wii,0.3,47,6,6.6,5
Harry Potter and the Deathly Hallows - Part 2,X360,0.29,44,31,5.2,19
Harry Potter and the Deathly Hallows - Part 2,PS3,0.26,43,21,5.2,19
Harry Potter and the Goblet of Fire,PSP,0.19,70,13,7.2,13
Harry Potter and the Half-Blood Prince,Wii,0.73,60,35,6.3,6
Harry Potter and the Half-Blood Prince,PSP,0.46,,,6.6,7
Harry Potter and the Half-Blood Prince,X360,0.29,64,38,6.4,8
Harry Potter and the Half-Blood Prince,PS3,0.28,66,35,6.9,13
Harry Potter and the Order of the Phoenix,Wii,0.44,69,34,7.3,27
Harry Potter and the Order of the Phoenix,PSP,0.36,52,11,8.1,18
Harry Potter and the Order of the Phoenix,X360,0.26,68,38,6.5,16
Harry Potter and the Order of the Phoenix,PS3,0.2,67,35,6.4,22
Harukanaru Toki no Naka de 3 with Izayoiki Aizouban,PSP,0.02,,,,
Harukanaru Toki no Naka de 3: Unmei no Meikyuu Aizouban,PSP,0.04,,,,
Harukanaru Toki no Naka de 4,Wii,0.01,,,,
Harukanaru Toki no Naka de 4: Aizouban,PSP,0.04,,,,
Harukanaru Toki no Naka de 5,PSP,0.04,,,,
Harukanaru Toki no Naka de 5: Kazahanaki,PSP,0.03,,,,
Harvest Moon 3D: A New Beginning,3DS,0.62,74,20,8.1,37
Harvest Moon: Animal Parade,Wii,0.69,76,10,8.8,13
Harvest Moon: Boy & Girl,PSP,0.09,,,,
Harvest Moon: Hero of Leaf Valley,PSP,0.12,74,6,8.2,5
Harvest Moon: Magical Melody,Wii,0.25,69,14,8.8,16
Harvest Moon: The Tale of Two Towns,3DS,0.26,63,14,6.5,23
Harvest Moon: Tree of Tranquility,Wii,0.79,65,18,8.1,25
Harvey Birdman: Attorney at Law,Wii,0.08,60,28,7.8,4
Harvey Birdman: Attorney at Law,PSP,0.07,62,19,9.2,6
Hasbro Family Game Night,Wii,1.39,63,12,7.6,10
Hasbro Family Game Night 2,Wii,1.32,63,16,6.3,6
Hasbro Family Game Night 3,Wii,0.75,,,,
Hasbro Family Game Night 3,PS3,0.22,,,,
Hasbro Family Game Night 3,X360,0.19,,,,
Hasbro Family Game Night Fun Pack,Wii,0.1,,,,
Hasbro Family Game Night Fun Pack,X360,0.07,,,,
HatsuKare * Renai Debut Sengen!,PSP,0.02,,,,
Hatsune Miku and Future Stars: Project Mirai,3DS,0.18,,,,
Hatsune Miku: Project Diva,PSP,0.26,,,,
Hatsune Miku: Project Diva 2nd,PSP,0.41,,,,
Hatsune Miku: Project Diva Extend,PSP,0.33,,,,
Hatsune Miku: Project Mirai 2,3DS,0.17,,,,
Haunted House,Wii,0.12,41,6,,
Hayarigami 3: Keishichou Kaii Jiken File,PSP,0.01,,,,
Hayate no Gotoku! Nightmare Paradise,PSP,0.03,,,,
Haze,PS3,0.96,55,65,6.7,273
Heart no Kuni no Alice,PSP,0.01,,,,
Heart no Kuni no Alice Anniversary Ver.: Wonderful Wonder World,PSP,0.02,,,,
